114,node_02_A,node_13_C,1,0,1275,-0.0
115,node_13_C,node_03_C,1,4,0,1.0
116,node_20_A,node_10_A,1,72,0,1.0
117,node_20_A,node_10_A,1,0,2543,-0.0
118,node_09_C,node_14_C,1,0,1342,-0.0
119,node_26_B,node_22_C,1,11,0,1.0
120,node_03_B,node_14_C,1,0,147,-0.0
121,node_17_B,node_19_B,1,1,0,1.0
122,node_17_B,node_19_B,1,0,6,1.0
123,node_07_B,node_04_C,1,89,0,-0.0
124,node_07_B,node_04_C,1,0,314,-0.0
125,node_13_B,node_20_C,1,0,390,-0.0
126,node_02_B,node_03_B,1,134,0,1.0
127,node_13_C,node_10_C,1,77,0,-0.0
128,node_09_A,node_15_C,1,125,0,1.0
129,node_09_A,node_15_C,1,0,2006,-0.0
130,node_12_C,node_17_A,1,13,0,1.0
131,node_05_B,node_21_B,1,48,0,1.0
132,node_24_B,node_20_A,1,2,0,-0.0
133,node_11_C,node_19_B,1,5,0,1.0
134,node_11_C,node_19_B,1,0,18,1.0
135,node_01_A,node_23_A,1,453,0,-0.0
136,node_01_A,node_23_A,1,0,2390,-0.0
137,node_02_B,node_09_C,1,364,0,1.0
138,node_02_B,node_09_C,1,0,1931,-0.0
139,node_03_C,node_24_B,1,4,0,1.0
140,node_07_B,node_23_C,1,0,100,-0.0
141,node_05_C,node_23_B,1,10,0,1.0
142,node_05_B,node_02_C,1,0,3523,-0.0
143,node_04_B,node_21_A,1,760,0,1.0
144,node_17_C,node_10_C,1,48,0,1.0
145,node_12_C,node_06_A,1,36,0,1.0
146,node_12_C,node_06_A,1,0,342,-0.0
147,node_03_A,node_07_C,1,60,0,1.0
148,node_03_A,node_07_C,1,0,186,-0.0
149,node_09_C,node_27_B,1,0,6210,-0.0
150,node_17_A,node_23_B,1,31,0,1.0
151,node_17_A,node_23_B,1,0,180,-0.0
152,node_12_C,node_26_A,1,35,0,1.0
153,node_12_C,node_26_A,1,0,326,-0.0
154,node_03_B,node_27_B,1,0,1294,-0.0
155,node_16_B,node_17_C,1,0,724,-0.0
156,node_23_A,node_14_C,1,728,0,-0.0
157,node_23_A,node_14_C,1,0,1910,-0.0
158,node_27_C,node_21_A,1,326,0,1.0
159,node_15_C,node_23_A,1,0,2521,-0.0
160,node_04_A,node_18_B,1,77,0,1.0
161,node_23_B,node_10_B,1,14,0,1.0
162,node_04_A,node_03_C,1,423,0,1.0
163,node_04_A,node_03_C,1,0,11662,-0.0
164,node_10_A,node_12_B,1,98,0,1.0
165,node_10_A,node_12_B,1,0,324,-0.0
166,node_17_C,node_27_A,1,160,0,-0.0
167,node_17_C,node_27_A,1,0,937,-0.0
168,node_04_C,node_24_C,1,2,0,1.0
169,node_04_C,node_24_C,1,0,12,1.0
170,node_20_C,node_25_A,1,157,0,1.0
171,node_20_C,node_25_A,1,0,60,1.0
172,node_01_A,node_10_C,1,11,0,1.0
173,node_01_A,node_10_C,1,0,763,-0.0
174,node_02_B,node_09_B,1,562,0,1.0
175,node_02_B,node_09_B,1,0,2759,-0.0
176,node_04_A,node_10_C,1,213,0,1.0
177,node_04_A,node_10_C,1,0,6071,-0.0
178,node_14_A,node_22_B,1,28,0,1.0
179,node_14_A,node_22_B,1,0,6505,-0.0
